"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 30734.2246201842, 9753.76571136578, 30734.2246201842, 32244.8214223021, 302.545503629982, 938.269244809519, 302.545503629982
2, 29027.5948928372, 10002.2904501426, 30734.2246201842, 32244.8214223021, 289.299444466218, 849.612160351524, 302.545503629982
3, 29656.6909640891, 9707.74482549636, 30734.2246201842, 32244.8214223021, 289.698908227447, 871.522943859588, 302.545503629982
4, 29647.0398679554, 9594.0400801409, 30734.2246201842, 32244.8214223021, 288.849919979484, 865.27381999465, 302.545503629982
5, 30370.8301614356, 9495.53709664426, 30734.2246201842, 32244.8214223021, 296.397891314901, 892.51218340528, 302.545503629982
6, 32320.1231125123, 10004.2011648753, 32320.1231125123, 33833.0370932798, 313.276602881406, 998.284340805518, 313.276602881406
7, 35773.7694065288, 11128.1145021809, 35773.7694065288, 37464.6167726983, 352.317572430955, 1224.54334497831, 352.317572430955
8, 40815.8045219459, 12579.0097758082, 40815.8045219459, 42710.2023609532, 425.544171028548, 1629.60711595058, 425.544171028548
9, 46895.3591831879, 15516.4491092706, 46895.3591831879, 49395.6972405573, 526.338681605807, 2252.12420897311, 526.338681605807
10, 46519.6360304545, 15640.0218778933, 46895.3591831879, 49395.6972405573, 567.817288807025, 2257.46855405935, 567.817288807025
11, 49924.5916832311, 17712.3254926676, 49924.5916832311, 52973.4964779138, 605.907165760345, 2683.68031136985, 605.907165760345
12, 50216.5155064391, 17803.2891457738, 50216.5155064391, 53279.0346573253, 609.609522538935, 2715.84856733144, 609.609522538935
13, 49725.7714926021, 17633.2127804008, 50216.5155064391, 53279.0346573253, 596.225643302496, 2647.03512364803, 609.609522538935
14, 49763.1996750548, 17602.6243962358, 50216.5155064391, 53279.0346573253, 595.278864073101, 2655.53134341779, 609.609522538935
15, 49055.4663216348, 17497.7272573283, 50216.5155064391, 53279.0346573253, 586.305574811471, 2589.9050788818, 609.609522538935
16, 48610.7255984504, 17285.3102445484, 50216.5155064391, 53279.0346573253, 576.954104150606, 2526.00545737522, 609.609522538935
17, 46761.804108984, 16555.0104542876, 50216.5155064391, 53279.0346573253, 544.840217418506, 2347.97033731373, 609.609522538935
18, 45632.6945854606, 16114.6124514603, 50216.5155064391, 53279.0346573253, 524.186382307537, 2233.86309617816, 609.609522538935
19, 45707.8634901732, 15960.2050073837, 50216.5155064391, 53279.0346573253, 519.567558747808, 2224.38659071584, 609.609522538935
20, 43542.5736055555, 15037.7995698066, 50216.5155064391, 53279.0346573253, 479.659633717058, 2011.83151927571, 609.609522538935
21, 39442.9860440228, 13243.3012461786, 50216.5155064391, 53279.0346573253, 413.239367209553, 1610.17484937976, 609.609522538935
22, 36058.0203206826, 11471.6903876228, 50216.5155064391, 53279.0346573253, 366.712049941868, 1305.62631161564, 609.609522538935
23, 33395.5470540622, 10255.5025704826, 50216.5155064391, 53279.0346573253, 332.24856693564, 1106.24898110676, 609.609522538935
24, 32077.2172463785, 9806.19179451212, 50216.5155064391, 53279.0346573253, 316.636942945542, 1013.58693261564, 609.609522538935
